,bagni,locali,piano,prezzo(€),superficie
181,2.0,4.0,11.5,695000,167.0
182,2.0,5.0,3.0,495000,130.0
183,1.0,2.0,7.0,148000,49.0
184,2.0,5.0,0.3,630000,147.0
185,3.0,5.5,3.0,780000,165.0
186,3.0,5.5,6.0,1500000,314.0
187,2.0,5.0,1.0,890000,150.0
188,2.0,4.0,2.0,750000,163.0
189,3.0,4.0,3.0,139000,100.0
190,2.0,5.5,2.0,450000,140.0
191,3.0,5.0,1.0,855000,182.0
192,1.0,2.0,3.0,520000,79.0
193,2.0,4.0,1.0,410000,125.0
194,1.0,2.0,4.0,490000,82.0
195,3.0,5.5,2.0,2100000,270.0
196,1.0,3.0,6.0,449000,126.0
197,3.0,4.0,4.0,1290000,120.0
198,2.0,3.0,1.0,175000,122.0
199,3.0,5.5,3.0,3950000,362.0
200,1.0,5.0,0.5,320000,135.0
201,3.0,5.5,6.0,1145000,210.0
202,2.0,4.0,0.3,590000,166.0
203,2.0,5.5,5.0,1500000,220.0
204,1.0,5.5,1.0,710000,170.0
205,1.0,3.0,5.0,190000,85.0
206,1.0,3.0,2.0,415000,75.0
207,2.0,5.0,3.0,295000,140.0
208,2.0,5.0,4.0,470000,110.0
209,2.0,3.0,2.0,325000,110.0
210,3.0,5.5,3.0,900000,175.0
211,1.0,5.5,1.0,790000,160.0
212,2.0,5.5,1.0,490000,140.0
213,1.0,2.0,8.0,230000,75.0
214,3.5,5.5,0.3,2950000,540.0
215,2.0,4.0,1.0,620000,130.0
216,3.0,5.5,3.0,1990000,370.0
217,2.0,5.0,4.0,860000,250.0
218,2.0,5.5,4.0,830000,168.0
219,3.0,4.0,4.0,1065000,280.0
220,2.0,4.0,2.0,790000,92.0
221,2.0,5.0,4.0,730000,150.0
222,2.0,5.0,0.3,690000,150.0
223,1.0,2.0,3.0,350000,85.0
224,3.0,4.0,2.0,980000,243.0
225,2.0,4.0,1.0,515000,150.0
226,3.0,5.5,3.0,1650000,165.0
227,2.0,3.0,11.5,150000,65.0
228,2.0,2.0,4.0,560000,60.0
229,3.0,4.0,3.0,139000,100.0
230,3.0,4.0,0.5,139000,120.0
231,2.0,3.0,5.0,525000,131.0
232,2.0,4.0,11.5,720000,185.0
233,3.0,5.5,4.0,795000,218.0
234,3.5,5.0,0.5,560000,250.0
235,2.0,5.5,1.0,1190000,179.0
236,2.0,3.0,4.0,720000,115.0
237,1.0,2.0,0.5,195000,31.0
238,2.0,3.0,1.0,365000,95.0
239,2.0,5.0,1.0,390000,133.0
240,2.0,4.0,1.0,420000,109.0
241,2.0,5.5,2.0,395000,200.0
242,1.0,2.0,1.0,179000,67.0
243,1.0,3.0,4.0,439000,72.0
244,1.0,3.0,0.5,235000,85.0
245,3.0,5.0,3.0,849000,208.0
246,1.0,4.0,11.5,339000,100.0
247,3.0,4.0,4.0,495000,173.0
248,2.0,3.0,1.0,880000,119.0
249,3.0,5.0,1.0,1080000,160.0
250,3.0,5.5,3.0,890000,195.0
251,1.0,2.0,1.0,185000,73.0
252,2.0,5.0,1.0,610000,156.0
253,2.0,5.0,11.5,495000,145.0
254,3.0,5.0,2.0,740000,217.0
255,2.0,3.0,0.5,245000,87.0
256,1.0,3.0,2.0,549000,115.0
257,1.0,2.0,3.0,219000,60.0
258,2.0,3.0,11.5,185000,110.0
259,1.0,2.0,5.0,215000,55.0
260,1.0,3.0,1.0,245000,80.0
261,2.0,3.0,0.3,189000,100.0
262,1.0,3.0,2.0,269000,80.0
263,1.0,3.0,0.0,425000,110.0
264,3.0,5.5,0.3,350000,260.0
265,2.0,5.0,5.0,657000,87.0
266,1.0,2.0,2.0,109000,63.0
267,1.0,3.0,2.0,199000,80.0
268,1.0,3.0,0.3,149000,90.0
269,1.0,3.0,1.0,257000,61.0
270,2.0,3.0,1.0,165000,77.0
271,1.0,1.0,2.0,115000,40.0
272,1.0,3.0,1.0,245000,85.0
273,1.0,1.0,0.5,98000,35.0
274,1.0,2.0,0.3,209000,90.0
275,1.0,2.0,3.0,325000,60.0
276,2.0,4.0,0.3,398000,90.0
277,1.0,2.0,1.0,175000,52.0
278,2.0,3.0,5.0,569000,74.0
279,1.0,2.0,5.0,217000,54.0
280,3.0,4.0,5.0,1300000,160.0
281,1.0,3.0,3.0,645000,100.0
282,3.0,5.5,4.0,970000,186.0
283,1.0,5.5,1.0,1280000,166.0
284,2.0,5.0,1.0,370000,111.0
285,2.0,5.0,3.0,2570000,210.0
286,2.0,5.5,4.0,1560000,297.0
287,1.0,2.0,3.0,890000,70.0
288,3.5,5.5,11.5,1390000,180.0
289,2.0,5.0,4.0,590000,132.0
290,3.0,5.5,2.0,1290000,270.0
291,3.5,5.5,3.0,1490000,250.0
292,1.0,4.0,3.0,590000,80.0
293,3.0,5.0,0.5,970000,239.0
294,3.0,5.5,1.0,4050000,750.0
295,2.0,5.0,0.5,795000,160.0
296,2.0,3.0,2.0,660000,104.0
297,3.0,4.0,1.0,569000,150.0
298,1.0,2.0,3.0,200000,60.0
299,1.0,3.0,2.0,345000,49.0
300,2.0,3.0,2.0,1100000,150.0
301,1.0,2.0,0.5,315000,35.0
302,3.0,5.5,5.0,1490000,225.0
303,1.0,2.0,1.0,155000,50.0
304,3.0,5.0,2.0,590000,152.0
305,1.0,3.0,1.0,245000,70.0
306,1.0,5.0,2.0,580000,76.0
307,2.0,5.0,11.5,599000,140.0
308,2.0,3.0,0.5,390000,110.0
309,2.0,5.0,11.5,1060000,162.0
310,2.0,3.0,3.0,680000,90.0
311,3.0,5.0,1.0,1320000,223.0
312,2.0,2.0,0.5,390000,65.0
313,3.0,5.5,4.0,730000,165.0
314,3.5,5.5,4.0,2450000,378.0
315,2.0,5.0,2.0,549000,150.0
316,3.0,5.5,11.5,870000,190.0
317,1.0,2.0,4.0,222000,57.0
318,3.5,5.0,2.0,1250000,290.0
319,3.5,5.5,3.0,1120000,241.0
320,2.0,5.5,3.0,599000,150.0
321,3.5,5.0,2.0,1590000,225.0
322,3.0,5.5,4.0,1390000,281.0
323,2.0,3.0,3.0,1420000,170.0
324,1.0,2.0,0.3,189000,55.0
325,1.0,3.0,2.0,260000,100.0
326,2.0,5.0,3.0,740000,141.0
327,1.0,2.0,0.5,149000,58.0
328,2.0,4.0,0.3,229000,110.0
329,1.0,2.0,0.5,112000,84.0
330,1.0,3.0,1.0,199000,127.0
331,2.0,3.0,1.0,285000,80.0
332,1.0,4.0,0.3,185000,90.0
333,1.0,3.0,1.0,168000,65.0
334,1.0,1.0,2.0,85000,30.0
335,1.0,3.0,1.0,735000,115.0
336,1.0,2.0,4.0,218000,60.0
337,1.0,2.0,0.3,239000,70.0
338,2.0,4.0,1.0,335000,110.0
339,1.0,3.0,3.0,690000,104.0
340,1.0,3.0,2.0,219000,80.0
341,2.0,4.0,11.5,349000,95.0
342,3.5,5.5,2.0,1650000,282.0
343,3.0,5.5,2.0,1150000,220.0
344,3.0,4.0,2.0,450000,145.0
345,1.0,3.0,1.0,169000,75.0
346,2.0,3.0,6.0,345000,70.0
347,1.0,2.0,8.0,235000,70.0
348,2.0,3.0,3.0,399000,107.0
349,2.0,4.0,5.0,350000,103.0
350,1.0,2.0,0.5,240000,54.0
351,1.0,2.0,3.0,178000,69.0
352,2.0,4.0,11.5,525000,100.0
353,2.0,4.0,7.0,565000,120.0
354,1.0,3.0,11.5,260000,65.0
355,1.0,4.0,0.3,219000,120.0
356,2.0,4.0,3.0,398000,137.0
357,2.0,4.0,0.5,495000,116.0
358,3.0,5.5,0.5,975000,198.0
359,2.0,3.0,2.0,550000,116.0
360,1.0,3.0,4.0,325000,80.0
361,1.0,1.0,2.0,148000,33.0
362,1.0,4.0,2.0,465000,140.0
363,1.0,2.0,0.3,335000,58.0
364,2.0,5.0,2.0,630000,144.0
365,3.0,5.5,3.0,1300000,303.0
366,2.0,3.0,3.0,495000,79.0
367,1.0,2.0,0.0,205000,66.0
368,2.0,4.0,3.0,390000,130.0
369,2.0,4.0,5.0,695000,163.0
370,2.0,5.0,9.0,635000,165.0
371,1.0,4.0,3.0,285000,100.0
372,2.0,4.0,2.0,570000,125.0
373,2.0,3.0,1.0,530000,123.0
374,1.0,1.0,2.0,175000,59.0
375,1.0,3.0,2.0,397000,117.0
376,2.0,3.0,5.0,215000,85.0
377,2.0,5.0,2.0,550000,145.0
378,3.0,5.0,4.0,1250000,200.0
379,1.0,3.0,0.5,335000,109.0
380,1.0,3.0,1.0,260000,88.0
381,2.0,3.0,4.0,198000,80.0
382,2.0,5.0,2.0,498000,150.0
383,3.0,5.5,4.0,778000,217.0
384,1.0,2.0,11.5,109000,49.0
385,1.0,2.0,5.0,189000,50.0
386,1.0,2.0,0.5,155000,63.0
387,1.0,2.0,1.0,180000,65.0
388,3.0,5.5,1.0,839000,200.0
389,1.0,2.0,1.0,300000,56.0
390,2.0,4.0,6.0,460000,110.0
391,2.0,5.5,1.0,699000,160.0
392,2.0,5.0,2.0,480000,120.0
393,2.0,4.0,2.0,460000,135.0
394,2.0,3.0,1.0,420000,134.0
395,2.0,3.0,1.0,270000,90.0
396,2.0,4.0,11.5,399000,130.0
397,2.0,3.0,11.5,198000,93.0
398,1.0,3.0,11.5,279000,73.0
399,3.0,5.5,3.0,1690000,227.0
400,3.0,5.5,2.0,790000,250.0
401,2.0,5.5,2.0,650000,130.0
402,2.0,2.0,0.5,410000,98.0
403,1.0,1.0,1.0,195000,38.0
404,1.0,2.0,4.0,195000,74.0
405,2.0,3.0,1.0,245000,79.0
406,1.0,1.0,1.0,123000,37.0
407,2.0,3.0,2.0,287000,80.0
408,1.0,3.0,1.0,195000,69.0
409,1.0,3.0,3.0,365000,80.0
410,1.0,2.0,1.0,148000,53.0
411,1.0,2.0,4.0,430000,65.0
412,1.0,2.0,1.0,133000,42.0
413,1.0,2.0,1.0,179000,71.0
414,2.0,3.0,1.0,179000,80.0
415,1.0,1.0,1.0,113000,37.0
416,2.0,3.0,0.3,310000,100.0
417,3.5,5.0,3.0,728000,157.0
418,2.0,4.0,0.5,179000,90.0
419,1.0,3.0,4.0,870000,88.0
420,1.0,3.0,11.5,435000,70.0
421,1.0,2.0,1.0,181000,54.0
422,2.0,4.0,0.3,210000,116.0
423,1.0,2.0,1.0,145000,35.0
424,1.0,2.0,1.0,205000,60.0
425,3.5,5.5,1.0,1090000,200.0
426,2.0,5.5,0.5,1020000,247.0
427,1.0,2.0,1.0,148000,39.0
428,2.0,4.0,3.0,429000,108.0
429,3.0,5.5,5.0,1450000,300.0
430,3.0,5.5,3.0,1500000,150.0
431,2.0,3.0,1.0,238000,67.0
432,1.0,3.0,11.5,240000,105.0
433,3.0,5.5,4.0,1660000,194.0
434,3.0,5.0,4.0,1290000,220.0
435,2.0,3.0,1.0,260000,127.0
436,2.0,5.5,3.0,549000,170.0
437,1.0,2.0,11.5,189000,50.0
438,1.0,2.0,4.0,649000,70.0
439,1.0,2.0,0.5,199000,50.0
440,3.0,5.0,2.0,980000,200.0
441,2.0,5.0,3.0,630000,167.0
442,2.0,3.0,1.0,249000,140.0
443,1.0,3.0,11.5,249000,87.0
444,3.0,5.5,4.0,1290000,200.0
445,2.0,3.0,0.5,349000,130.0
446,2.0,5.0,1.0,465000,127.0
447,1.0,1.0,5.0,119000,39.0
448,1.0,2.0,11.5,260000,70.0
449,2.0,3.0,1.0,249000,100.0
450,2.0,3.0,1.0,175000,75.0
451,1.0,2.0,3.0,220000,75.0
452,1.0,2.0,0.5,205000,50.0
453,1.0,3.0,2.0,215000,92.0
454,2.0,4.0,1.0,890000,155.0
455,1.0,2.0,1.0,152000,45.0
456,2.0,5.0,3.0,360000,171.0
457,1.0,2.0,0.5,165000,45.0
458,2.0,3.0,1.0,179000,80.0
459,2.0,4.0,2.0,249000,115.0
460,2.0,5.0,0.5,395000,120.0
461,3.0,5.0,1.0,395000,146.0
462,3.0,5.0,3.0,850000,287.0
463,1.0,2.0,0.5,289000,60.0
464,3.0,5.5,11.5,369000,130.0
465,3.5,5.5,11.5,950000,250.0
466,2.0,4.0,0.3,540000,150.0
467,2.0,5.5,3.0,1070000,200.0
468,1.0,2.0,0.5,79000,50.0
469,1.0,3.0,1.0,189000,95.0
470,2.0,4.0,6.0,270000,115.0
471,1.0,3.0,4.0,159000,80.0
472,3.0,5.5,1.0,760000,165.0
473,2.0,4.0,2.0,570000,140.0
474,1.0,2.0,0.3,139000,60.0
475,2.0,3.0,11.5,285000,100.0
476,2.0,5.5,5.0,380000,100.0
477,1.0,3.0,1.0,210000,65.0
478,2.0,5.5,4.0,1090000,197.0
479,1.0,2.0,4.0,180000,65.0
480,2.0,4.0,4.0,745000,155.0
481,1.0,3.0,3.0,269000,110.0
482,2.0,4.0,3.0,990000,187.0
483,1.0,3.0,0.3,205000,90.0
484,3.5,4.0,1.0,310000,90.0
485,1.0,2.0,2.0,85000,45.0
486,2.0,3.0,11.5,289000,97.0
487,1.0,3.0,11.5,200000,100.0
488,1.0,2.0,2.0,169000,63.0
489,3.0,5.0,11.5,509000,216.0
490,1.0,2.0,1.0,175000,70.0
491,1.0,4.0,1.0,259000,136.0
492,1.0,4.0,2.0,400000,120.0
493,2.0,4.0,11.5,1500000,118.0
494,2.0,5.5,2.0,550000,170.0
495,2.0,4.0,1.0,955000,113.0
496,2.0,5.5,1.0,400000,145.0
497,1.0,3.0,3.0,179000,81.0
498,2.0,3.0,0.5,460000,106.0
499,1.0,3.0,3.0,198000,89.0
500,1.0,3.0,2.0,209000,90.0
501,1.0,3.0,2.0,239000,93.0
502,2.0,4.0,3.0,490000,140.0
503,1.0,4.0,5.0,259000,108.0
504,2.0,4.0,0.5,380000,150.0
505,3.0,5.5,11.5,740000,200.0
506,1.0,4.0,1.0,235000,116.0
507,2.0,3.0,2.0,255000,95.0
508,1.0,3.0,2.0,349000,80.0
509,3.0,3.0,3.0,670000,131.0
510,1.0,2.0,3.0,239000,60.0
511,1.0,5.0,1.0,495000,150.0
512,3.0,5.5,2.0,950000,190.0
513,2.0,3.0,0.5,180000,72.0
514,2.0,3.0,1.0,241000,100.0
515,1.0,2.0,0.5,145000,55.0
516,1.0,3.0,0.3,335000,80.0
517,1.0,2.0,0.5,112000,75.0
518,2.0,3.0,2.0,199000,90.0
519,1.0,3.0,3.0,249000,69.0
520,2.0,5.0,1.0,835000,200.0
521,1.0,2.0,2.0,245000,54.0
522,1.0,2.0,1.0,189000,54.0
523,1.0,3.0,2.0,360000,90.0
524,3.5,5.5,5.0,1950000,260.0
525,2.0,3.0,0.5,365000,83.0
526,3.0,5.0,0.5,1250000,245.0
527,1.0,3.0,2.0,620000,119.0
528,2.0,3.0,4.0,579000,75.0
529,2.0,5.5,1.0,495000,160.0
530,1.0,2.0,6.0,199000,68.0
531,2.0,4.0,1.0,369000,150.0
532,2.0,3.0,5.0,600000,130.0
533,1.0,3.0,0.5,280000,75.0
534,1.0,3.0,1.0,590000,100.0
535,1.0,3.0,1.0,420000,108.0
536,1.0,3.0,2.0,399000,113.0
537,2.0,4.0,5.0,680000,108.0
538,3.5,5.0,0.3,1320000,390.0
539,1.0,4.0,0.3,189000,119.0
540,1.0,2.0,3.0,175000,70.0
541,2.0,5.0,0.5,785000,100.0
542,1.0,3.0,0.0,158000,60.0
543,3.0,5.0,4.0,1100000,195.0
544,1.0,2.0,0.5,195000,70.0
545,2.0,4.0,0.5,290000,95.0
546,3.0,5.0,2.0,1780000,261.0
547,1.0,3.0,4.0,370000,106.0
548,3.0,5.5,11.5,1811000,277.0
549,1.0,2.0,0.3,155000,70.0
550,1.0,3.0,2.0,390000,120.0
551,3.0,5.5,1.0,890000,200.0
552,2.0,5.0,4.0,790000,167.0
553,2.0,2.0,11.5,167000,55.0
554,2.0,4.0,4.0,370000,100.0
555,2.0,3.0,0.5,390000,140.0
556,1.0,2.0,2.0,139000,54.0
557,2.0,3.0,1.0,696000,84.0
558,1.0,3.0,1.0,260000,80.0
559,3.0,5.5,1.0,810000,191.0
560,1.0,3.0,2.0,353800,85.0
561,1.0,3.0,2.0,469000,103.0
562,3.0,4.0,4.0,1250000,200.0
563,1.0,2.0,0.5,185000,45.0
564,1.0,2.0,1.0,330000,80.0
565,1.0,3.0,3.0,275000,93.0
566,3.5,5.5,2.0,1950000,360.0
567,1.0,4.0,5.0,349000,128.0
568,2.0,4.0,0.5,260000,135.0
569,1.0,1.0,2.0,210000,43.0
570,3.5,4.0,11.5,2190000,280.0
571,1.0,2.0,0.0,138000,35.0
572,1.0,3.0,3.0,215000,95.0
573,2.0,3.0,6.0,508000,130.0
574,1.0,2.0,2.0,215000,55.0
575,2.0,3.0,11.5,420000,100.0
576,3.0,5.5,1.0,980000,250.0
577,2.0,3.0,1.0,330000,90.0
578,1.0,2.0,1.0,145000,70.0
579,2.0,5.5,3.0,1380000,200.0
580,2.0,4.0,0.3,245000,100.0
581,2.0,5.0,11.5,695000,150.0
582,2.0,3.0,1.0,259000,100.0
583,3.0,3.0,0.3,480000,141.0
584,2.0,4.0,3.0,349000,130.0
585,1.0,3.0,0.5,310000,70.0
586,1.0,3.0,4.0,270000,102.0
587,1.0,2.0,0.3,149000,52.0
588,2.0,4.0,3.0,580000,121.0
589,1.0,2.0,5.0,245000,70.0
590,2.0,4.0,6.0,419000,120.0
591,1.0,3.0,0.3,324000,109.0
592,1.0,2.0,4.0,374000,53.0
593,1.0,1.0,0.5,140000,40.0
594,1.0,3.0,4.0,460000,110.0
595,2.0,4.0,1.0,349000,99.0
596,1.0,1.0,1.0,160000,40.0
597,2.0,4.0,4.0,1200000,229.0
598,2.0,5.5,3.0,645000,168.0
599,1.0,2.0,0.5,155000,60.0
600,2.0,5.5,1.0,690000,240.0
601,2.0,5.0,4.0,600000,120.0
602,3.0,5.5,1.0,640000,210.0
603,1.0,2.0,0.5,259000,56.0
604,1.0,4.0,1.0,200000,95.0
605,3.5,5.5,4.0,2900000,592.0
606,2.0,3.0,3.0,320000,100.0
607,2.0,4.0,1.0,250000,154.0
608,1.0,3.0,1.0,369000,101.0
609,3.0,5.0,1.0,571000,155.0
610,1.0,3.0,3.0,260000,60.0
611,1.0,4.0,0.3,469000,130.0
612,1.0,3.0,11.5,250000,60.0
613,1.0,3.0,3.0,165000,58.0
614,1.0,3.0,3.0,110000,80.0
615,1.0,3.0,0.5,180000,90.0
616,2.0,3.0,1.0,199000,76.0
617,2.0,3.0,1.0,290000,84.0
618,1.0,3.0,3.0,199000,85.0
619,1.0,1.0,1.0,118000,30.0
620,2.0,3.0,2.0,289000,102.0
621,1.0,3.0,3.0,645000,73.0
622,1.0,2.0,1.0,205000,45.0
623,1.0,2.0,0.5,149000,70.0
624,2.0,3.0,0.3,229000,80.0
625,3.0,5.5,0.5,409000,220.0
626,2.0,3.0,3.0,499000,125.0
627,3.5,5.5,11.5,499000,160.0
628,2.0,3.0,2.0,499000,80.0
629,2.0,4.0,1.0,435000,153.0
630,1.0,3.0,1.0,229000,54.0
631,2.0,4.0,1.0,279000,104.0
632,1.0,3.0,0.0,210000,79.0
633,1.0,2.0,4.0,140000,66.0
634,1.0,2.0,2.0,429000,64.0
635,1.0,2.0,2.0,219000,60.0
636,2.0,5.0,2.0,695000,182.0
637,2.0,3.0,4.0,480000,103.0
638,2.0,4.0,5.0,389000,120.0
639,2.0,3.0,0.3,199000,101.0
640,2.0,4.0,3.0,398000,149.0
641,2.0,5.0,0.5,880000,250.0
642,2.0,4.0,1.0,455000,124.0
643,2.0,4.0,2.0,485000,118.0
644,3.5,5.5,3.0,575000,160.0
645,1.0,2.0,0.5,229000,52.0
646,3.0,5.0,11.5,690000,184.0
647,2.0,4.0,0.5,430000,142.0
648,2.0,5.5,3.0,570000,153.0
649,2.0,4.0,7.0,295000,145.0
650,2.0,3.0,4.0,208000,98.0
651,2.0,3.0,0.0,262000,85.0
652,2.0,4.0,2.0,595000,110.0
653,1.0,3.0,1.0,179000,75.0
654,1.0,2.0,1.0,210000,66.0
655,2.0,4.0,0.5,460000,148.0
656,2.0,4.0,1.0,318000,102.0
657,1.0,3.0,1.0,148000,90.0
658,2.0,4.0,9.0,375000,115.0
